,"Heavy","2-theta","Intensity"
,"","18.580","0.83088"
,"","18.600","0.79834"
,"","18.620","0.71136"
,"","18.640","0.65769"
,"","18.660","0.63679"
,"","18.680","0.60294"
,"","18.700","0.62746"
,"","18.720","0.56898"
,"","18.740","0.52167"
,"","18.760","0.50432"
,"","18.780","0.50132"
,"","18.800","0.48946"
,"","18.820","0.42481"
,"","18.840","0.40616"
,"","18.860","0.36801"
,"","18.880","0.33058"
,"","18.900","0.30097"
,"","18.920","0.25268"
,"","18.940","0.22490"
,"","18.960","0.22788"
,"","18.980","0.22272"
,"","19.000","0.20506"
,"","19.020","0.18116"
,"","19.040","0.18166"
,"","19.060","0.17828"
,"","19.080","0.17411"
,"","19.100","0.16120"
,"","19.120","0.16554"
,"","19.140","0.15534"
,"","19.160","0.16391"
,"","19.180","0.16580"
,"","19.200","0.15021"
,"","19.220","0.13835"
,"","19.240","0.12900"
,"","19.260","0.12708"
,"","19.280","0.12949"
,"","19.300","0.12536"
,"","19.320","0.12509"
,"","19.340","0.11571"
,"","19.360","0.12198"
,"","19.380","0.12783"
,"","19.400","0.11912"
,"","19.420","0.10723"
,"","19.440","0.09916"
,"","19.460","0.08733"
,"","19.480","0.09630"
,"","19.500","0.09246"
,"","19.520","0.09520"
,"","19.540","0.09138"
,"","19.560","0.08969"
,"","19.580","0.09126"
,"","19.600","0.08779"
,"","19.620","0.08972"
,"","19.640","0.08412"
,"","19.660","0.08739"
,"","19.680","0.09479"
,"","19.700","0.09689"
,"","19.720","0.10062"
,"","19.740","0.09254"
,"","19.760","0.07628"
,"","19.780","0.07273"
,"","19.800","0.07116"
,"","19.820","0.07395"
,"","19.840","0.07241"
,"","19.860","0.07835"
,"","19.880","0.08730"
,"","19.900","0.09831"
,"","19.920","0.10810"
,"","19.940","0.10746"
,"","19.960","0.10062"
,"","19.980","0.10301"
,"","20.000","0.10251"
,"","20.020","0.09211"
,"","20.040","0.08972"
,"","20.060","0.07932"
,"","20.080","0.08412"
,"","20.100","0.08080"
,"","20.120","0.09144"
,"","20.140","0.09056"
,"","20.160","0.09368"
,"","20.180","0.10423"
,"","20.200","0.11967"
,"","20.220","0.12090"
,"","20.240","0.12874"
,"","20.260","0.11845"
,"","20.280","0.11353"
,"","20.300","0.09945"
,"","20.320","0.10496"
,"","20.340","0.09461"
,"","20.360","0.08846"
,"","20.380","0.08558"
,"","20.400","0.08672"
,"","20.420","0.07929"
,"","20.440","0.08712"
,"","20.460","0.08019"
,"","20.480","0.08351"
,"","20.500","0.07981"
,"","20.520","0.08546"
,"","20.540","0.08692"
,"","20.560","0.09802"
,"","20.580","0.10420"
,"","20.600","0.09389"
,"","20.620","0.09662"
,"","20.640","0.09724"
,"","20.660","0.09176"
,"","20.680","0.09196"
,"","20.700","0.07993"
,"","20.720","0.08334"
,"","20.740","0.07838"
,"","20.760","0.08727"
,"","20.780","0.08814"
,"","20.800","0.08304"
,"","20.820","0.07783"
,"","20.840","0.07439"
,"","20.860","0.06646"
,"","20.880","0.07148"
,"","20.900","0.07145"
,"","20.920","0.07404"
,"","20.940","0.07261"
,"","20.960","0.08660"
,"","20.980","0.09100"
,"","21.000","0.08351"
,"","21.020","0.08325"
,"","21.040","0.09059"
,"","21.060","0.08602"
,"","21.080","0.08855"
,"","21.100","0.08928"
,"","21.120","0.08919"
,"","21.140","0.08628"
,"","21.160","0.08954"
,"","21.180","0.08575"
,"","21.200","0.07381"
,"","21.220","0.07862"
,"","21.240","0.06775"
,"","21.260","0.06253"
,"","21.280","0.06335"
,"","21.300","0.07226"
,"","21.320","0.07637"
,"","21.340","0.08555"
,"","21.360","0.09610"
,"","21.380","0.10385"
,"","21.400","0.10114"
,"","21.420","0.08925"
,"","21.440","0.08380"
,"","21.460","0.08631"
,"","21.480","0.08747"
,"","21.500","0.08555"
,"","21.520","0.08010"
,"","21.540","0.07576"
,"","21.560","0.07121"
,"","21.580","0.07086"
,"","21.600","0.06288"
,"","21.620","0.05446"
,"","21.640","0.05816"
,"","21.660","0.06556"
,"","21.680","0.06941"
,"","21.700","0.07203"
,"","21.720","0.07357"
,"","21.740","0.08255"
,"","21.760","0.10152"
,"","21.780","0.10528"
,"","21.800","0.09674"
,"","21.820","0.09732"
,"","21.840","0.09377"
,"","21.860","0.08441"
,"","21.880","0.08272"
,"","21.900","0.07757"
,"","21.920","0.07358"
,"","21.940","0.07958"
,"","21.960","0.07827"
,"","21.980","0.06958"
,"","22.000","0.06480"
,"","22.020","0.07223"
,"","22.040","0.07162"
,"","22.060","0.06577"
,"","22.080","0.07188"
,"","22.100","0.06664"
,"","22.120","0.06807"
,"","22.140","0.07008"
,"","22.160","0.07238"
,"","22.180","0.07573"
,"","22.200","0.07908"
,"","22.220","0.08293"
,"","22.240","0.08520"
,"","22.260","0.07937"
,"","22.280","0.06810"
,"","22.300","0.06084"
,"","22.320","0.05586"
,"","22.340","0.05970"
,"","22.360","0.06131"
,"","22.380","0.06597"
,"","22.400","0.07104"
,"","22.420","0.07678"
,"","22.440","0.08386"
,"","22.460","0.08794"
,"","22.480","0.08427"
,"","22.500","0.07687"
,"","22.520","0.07357"
,"","22.540","0.07832"
,"","22.560","0.08258"
,"","22.580","0.09042"
,"","22.600","0.09575"
,"","22.620","0.10274"
,"","22.640","0.10671"
,"","22.660","0.11387"
,"","22.680","0.11822"
,"","22.700","0.11044"
,"","22.720","0.10802"
,"","22.740","0.10204"
,"","22.760","0.10207"
,"","22.780","0.10729"
,"","22.800","0.10714"
,"","22.820","0.09205"
